ID_REF,Module,Connectivity
ILMN_1652073,black,5.473629626
ILMN_1657722,black,5.11038305
ILMN_1673638,black,5.060806767
ILMN_1656807,black,5.003325691
ILMN_1652230,black,4.954459042
ILMN_1655613,blue,41.27191748
ILMN_1654663,blue,40.08790002
ILMN_1662370,blue,38.93573778
ILMN_1661417,blue,38.4289617
ILMN_1664622,blue,38.04056652
ILMN_1656913,brown,26.17165779
ILMN_1656560,brown,25.55749707
ILMN_1659086,brown,25.48678893
ILMN_1657440,brown,25.26432453
ILMN_1671621,brown,24.83688471
ILMN_1654653,green,5.525671328
ILMN_1661491,green,4.87174445
ILMN_1661940,green,4.738574544
ILMN_1654541,green,4.699601271
ILMN_1653867,green,4.654875598
ILMN_1671865,grey,1.093171178
ILMN_1657962,grey,1.084713245
ILMN_1661173,grey,1.033730619
ILMN_1665390,grey,1.014256489
ILMN_1653026,grey,1.010948032
ILMN_1670410,pink,3.001735406
ILMN_1660227,pink,2.739311231
ILMN_1665540,pink,2.642379721
ILMN_1658697,pink,2.205782107
ILMN_1672496,pink,2.002985326
ILMN_1673704,red,6.003940865
ILMN_1660718,red,5.411781695
ILMN_1660372,red,4.949849944
ILMN_1658499,red,4.922829298
ILMN_1651652,red,4.811497293
ILMN_1660501,turquoise,102.0693467
ILMN_1673450,turquoise,96.77500725
ILMN_1657149,turquoise,93.26238602
ILMN_1672878,turquoise,85.67063367
 ILMN_1669502,turquoise,85.60344425
ILMN_1673380,yellow,23.15436736
ILMN_1670705,yellow,21.73603067
ILMN_1664750,yellow,21.51670638
ILMN_1659316,yellow,21.46219723
ILMN_1671260,yellow,20.79374961
