"","x"
"1",7
"2",1
"3",2
"4",1
"5",2
"6",0
"7",1
"8",1
"9",1
"10",1
"11",8
"12",0
"13",2
"14",3
"15",0
"16",3
"17",5
"18",3
"19",2
"20",0
"21",1
"22",2
"23",1
"24",0
"25",0
"26",2
"27",1
"28",1
"29",2
"30",1
"31",4
"32",1
"33",0
"34",2
"35",1
"36",1
"37",3
"38",2
"39",0
"40",4
"41",2
"42",2
"43",2
"44",1
"45",7
"46",1
"47",1
"48",3
"49",0
"50",0
"51",3
"52",1
"53",1
"54",1
"55",2
"56",1
"57",0
"58",1
"59",1
"60",1
"61",2
"62",3
"63",2
"64",2
"65",1
"66",4
"67",0
"68",3
"69",0
"70",0
"71",0
"72",3
"73",4
"74",2
"75",0
"76",0
"77",0
"78",2
"79",1
"80",1
"81",1
"82",1
"83",1
"84",0
"85",1
"86",4
"87",1
"88",1
"89",1
"90",1
"91",3
"92",1
"93",4
"94",0
"95",2
"96",0
"97",3
"98",2
"99",3
"100",4
"101",1
"102",1
"103",4
"104",2
"105",0
"106",2
"107",2
"108",3
"109",2
"110",0
"111",3
"112",1
"113",1
"114",0
"115",2
"116",2
"117",0
"118",2
"119",0
"120",1
"121",2
"122",3
"123",2
"124",1
"125",1
"126",2
"127",2
"128",6
"129",1
"130",1
"131",2
"132",3
"133",1
"134",0
"135",7
"136",0
"137",2
"138",3
"139",1
"140",1
"141",3
"142",4
"143",4
"144",0
"145",4
"146",1
"147",3
"148",4
"149",0
"150",1
"151",2
"152",1
"153",3
"154",2
"155",5
"156",2
"157",2
"158",1
"159",2
"160",3
"161",2
"162",1
"163",1
"164",5
"165",1
"166",1
"167",2
"168",1
"169",1
"170",0
"171",2
"172",1
"173",3
"174",3
"175",2
"176",1
"177",0
"178",0
"179",0
"180",7
"181",2
"182",1
"183",1
"184",5
"185",7
"186",1
"187",1
"188",0
"189",0
"190",2
"191",2
"192",1
"193",1
"194",0
"195",1
"196",2
"197",1
"198",2
"199",7
"200",1
"201",2
"202",3
"203",2
"204",2
"205",2
"206",1
"207",2
"208",1
"209",1
"210",2
"211",1
"212",3
"213",1
"214",6
"215",3
"216",1
"217",1
"218",1
"219",1
"220",7
"221",0
"222",0
"223",5
"224",0
"225",1
"226",4
"227",2
"228",2
"229",1
"230",1
"231",1
"232",2
"233",0
"234",2
"235",8
"236",2
"237",1
"238",3
"239",1
"240",1
"241",1
"242",0
"243",0
"244",1
"245",0
"246",2
"247",2
"248",3
"249",1
"250",2
"251",3
"252",1
"253",1
"254",2
"255",3
"256",2
"257",1
"258",0
"259",2
"260",1
"261",7
"262",1
"263",1
"264",2
"265",2
"266",3
"267",1
"268",1
"269",1
"270",3
"271",2
"272",2
"273",2
"274",1
"275",1
"276",1
"277",0
"278",3
"279",0
"280",1
"281",1
"282",1
"283",0
"284",1
"285",1
"286",1
"287",3
"288",0
"289",1
"290",3
"291",1
"292",2
"293",2
"294",1
"295",1
"296",0
"297",7
"298",1
"299",4
"300",2
"301",3
"302",1
"303",1
"304",3
"305",1
"306",0
"307",1
"308",1
"309",0
"310",0
"311",0
"312",3
"313",1
"314",0
"315",1
"316",0
"317",1
"318",3
"319",2
"320",1
"321",1
"322",3
"323",0
"324",5
"325",0
"326",3
"327",1
"328",0
"329",1
"330",1
"331",0
"332",1
"333",3
"334",1
"335",4
"336",1
"337",0
"338",5
"339",0
"340",0
"341",2
"342",2
"343",0
"344",1
"345",2
"346",1
"347",0
"348",1
"349",2
"350",4
"351",2
"352",1
"353",1
"354",5
"355",1
"356",0
"357",1
"358",3
"359",0
"360",0
"361",1
"362",4
"363",0
"364",0
"365",4
"366",4
"367",1
"368",4
"369",2
"370",0
"371",2
"372",1
"373",4
"374",2
"375",2
"376",3
"377",0
"378",6
"379",0
"380",1
"381",2
"382",0
"383",1
"384",1
"385",0
"386",4
"387",1
"388",3
"389",0
"390",1
"391",0
"392",3
"393",1
"394",2
"395",0
"396",1
"397",1
"398",1
"399",4
"400",3
"401",1
"402",1
"403",2
"404",0
"405",2
"406",0
"407",1
"408",4
"409",0
"410",1
"411",0
"412",2
"413",0
"414",2
"415",4
"416",0
"417",0
"418",1
"419",0
"420",1
"421",0
"422",4
"423",1
"424",1
"425",2
"426",1
"427",0
"428",1
"429",2
"430",4
"431",2
"432",1
"433",2
"434",1
"435",7
"436",1
"437",0
"438",4
"439",1
"440",2
"441",0
"442",1
"443",1
"444",1
"445",1
"446",6
"447",1
"448",0
"449",1
"450",2
"451",4
"452",0
"453",4
"454",0
"455",2
"456",1
"457",3
"458",3
"459",2
"460",0
"461",0
"462",0
"463",1
"464",1
"465",2
"466",1
"467",1
"468",1
"469",0
"470",0
"471",4
"472",2
"473",2
"474",3
"475",3
"476",1
"477",1
"478",2
"479",1
"480",1
"481",0
"482",0
"483",4
"484",1
"485",1
"486",1
"487",0
"488",1
"489",1
"490",0
"491",2
"492",1
"493",0
"494",0
"495",3
"496",0
"497",4
"498",1
"499",0
"500",2
"501",0
"502",1
"503",1
"504",1
"505",3
"506",6
"507",6
"508",3
"509",6
"510",2
"511",1
"512",2
"513",1
"514",1
"515",2
"516",2
"517",1
"518",1
"519",2
"520",1
"521",2
"522",2
"523",1
"524",2
"525",1
"526",1
"527",0
"528",1
"529",1
"530",1
"531",0
"532",1
"533",1
"534",3
"535",0
"536",1
"537",2
"538",0
"539",2
"540",4
"541",1
"542",0
"543",1
"544",0
"545",1
"546",8
"547",1
"548",0
"549",1
"550",0
"551",1
"552",2
"553",1
"554",0
"555",2
"556",0
"557",1
"558",1
"559",7
"560",2
"561",1
"562",2
"563",4
"564",1
"565",2
"566",1
"567",1
"568",2
"569",2
"570",2
"571",1
"572",4
"573",1
"574",1
"575",0
"576",2
"577",0
"578",4
"579",0
"580",1
"581",1
"582",4
"583",1
"584",1
"585",3
"586",3
"587",1
"588",2
"589",0
"590",1
"591",4
"592",0
"593",1
"594",2
"595",2
"596",1
"597",0
"598",1
"599",0
"600",4
"601",2
"602",2
"603",1
"604",1
"605",4
"606",2
"607",4
"608",2
"609",0
"610",2
"611",0
"612",1
"613",1
"614",1
"615",1
"616",2
"617",2
"618",1
"619",1
"620",1
"621",2
"622",1
"623",2
"624",1
"625",1
"626",2
"627",3
"628",0
"629",0
"630",4
"631",4
"632",2
"633",4
"634",0
"635",2
"636",7
"637",4
"638",0
"639",2
"640",2
"641",2
"642",4
"643",1
"644",1
"645",0
"646",4
"647",0
"648",1
"649",6
"650",3
"651",1
"652",1
"653",0
"654",1
"655",2
"656",5
"657",7
"658",0
"659",6
"660",2
"661",3
"662",0
"663",8
"664",2
"665",1
"666",1
"667",1
"668",0
"669",0
"670",2
"671",0
"672",0
"673",1
"674",4
"675",1
"676",1
"677",0
"678",1
"679",3
"680",0
"681",0
"682",3
"683",1
"684",1
"685",3
"686",2
"687",1
"688",1
"689",0
"690",2
"691",2
"692",1
"693",3
"694",3
"695",0
"696",1
"697",1
"698",3
"699",2
"700",0
"701",3
"702",2
"703",0
"704",2
"705",1
"706",0
"707",2
"708",2
"709",1
"710",1
"711",0
"712",0
"713",1
"714",2
"715",1
"716",1
"717",1
"718",1
"719",4
"720",1
"721",0
"722",0
"723",3
"724",1
"725",0
"726",3
"727",0
"728",1
"729",2
"730",1
"731",5
"732",2
"733",1
"734",4
"735",0
"736",0
"737",4
"738",2
"739",2
"740",1
"741",1
"742",1
"743",2
"744",0
"745",3
"746",1
"747",4
"748",1
"749",0
"750",3
"751",0
"752",2
"753",1
"754",3
"755",1
"756",1
"757",3
"758",3
"759",1
"760",4
"761",4
"762",1
"763",7
"764",2
"765",2
"766",1
"767",4
"768",2
"769",1
"770",1
"771",0
"772",3
"773",3
"774",3
"775",1
"776",3
"777",4
"778",2
"779",3
"780",2
"781",0
"782",0
"783",0
"784",5
"785",2
"786",2
"787",1
"788",3
"789",4
"790",1
"791",1
"792",5
"793",4
"794",1
"795",1
"796",2
"797",1
"798",4
"799",1
"800",3
"801",1
"802",1
"803",2
"804",2
"805",3
"806",3
"807",3
"808",3
"809",1
"810",1
"811",0
